,date,open,High,low,close,signal
16369,2018-06-23 13:15:00,,,,,Short
16370,2018-06-23 17:15:00,,,,,Short
16371,2018-06-23 21:15:00,,,,,Short
16372,2018-06-24 01:15:00,,,,,Short
16373,2018-06-24 05:15:00,,,,,Short
16374,2018-06-24 09:15:00,,,,,Short
16375,2018-06-24 13:15:00,,,,,Short
16376,2018-06-24 17:15:00,,,,,Short
16377,2018-06-24 21:15:00,,,,,Short
16378,2018-06-25 01:15:00,,,,,Short
16379,2018-06-25 05:15:00,,,,,Short
16380,2018-06-25 09:15:00,26718.15,26802.25,26645.45,26680.9,Short
16381,2018-06-25 13:15:00,26682.35,26728.05,26573.05,26607.1,Short
16382,2018-06-25 17:15:00,,,,,Short
16383,2018-06-25 21:15:00,,,,,Short
16384,2018-06-26 01:15:00,,,,,Short
16385,2018-06-26 05:15:00,,,,,Short
16386,2018-06-26 09:15:00,26495.65,26711.65,26483.0,26640.9,Short
16387,2018-06-26 13:15:00,26641.25,26671.7,26545.8,26586.85,Short
16388,2018-06-26 17:15:00,,,,,Short
16389,2018-06-26 21:15:00,,,,,Short
16390,2018-06-27 01:15:00,,,,,Short
16391,2018-06-27 05:15:00,,,,,Short
16392,2018-06-27 09:15:00,26616.3,26632.45,26366.25,26375.5,Short
16393,2018-06-27 13:15:00,26374.8,26483.2,26338.4,26429.3,Short
16394,2018-06-27 17:15:00,,,,,Short
16395,2018-06-27 21:15:00,,,,,Short
16396,2018-06-28 01:15:00,,,,,Short
16397,2018-06-28 05:15:00,,,,,Short
16398,2018-06-28 09:15:00,26398.1,26487.2,26289.85,26366.4,Short
16399,2018-06-28 13:15:00,26365.1,26403.3,26162.7,26312.55,Short
16400,2018-06-28 17:15:00,,,,,Short
16401,2018-06-28 21:15:00,,,,,Short
16402,2018-06-29 01:15:00,,,,,Short
16403,2018-06-29 05:15:00,,,,,Short
16404,2018-06-29 09:15:00,26312.7,26463.35,26293.0,26428.8,Short
16405,2018-06-29 13:15:00,26429.95,26463.95,26322.2,26360.9,Short
16406,2018-06-29 17:15:00,,,,,Short
16407,2018-06-29 21:15:00,,,,,Short
16408,2018-06-30 01:15:00,,,,,Short
16409,2018-06-30 05:15:00,,,,,Short
16410,2018-06-30 09:15:00,,,,,Short
16411,2018-06-30 13:15:00,,,,,Short
16412,2018-06-30 17:15:00,,,,,Short
16413,2018-06-30 21:15:00,,,,,Short
16414,2018-07-01 01:15:00,,,,,Short
16415,2018-07-01 05:15:00,,,,,Short
16416,2018-07-01 09:15:00,,,,,Short
16417,2018-07-01 13:15:00,,,,,Short
16418,2018-07-01 17:15:00,,,,,Short
16419,2018-07-01 21:15:00,,,,,Short
16420,2018-07-02 01:15:00,,,,,Short
16421,2018-07-02 05:15:00,,,,,Short
16422,2018-07-02 09:15:00,26364.45,26367.85,26082.1,26087.15,Short
16423,2018-07-02 13:15:00,26084.0,26294.1,26061.75,26214.4,Short
16424,2018-07-02 17:15:00,,,,,Short
16425,2018-07-02 21:15:00,,,,,Short
16426,2018-07-03 01:15:00,,,,,Short
16427,2018-07-03 05:15:00,,,,,Short
